Cycles,DischargeAh_97,DischargeAh_98,DischargeAh_99,DischargeAh_100,DischargeAh_101,DischargeAh_102,DischargeAh_103,DischargeAh_104,DischargeAh_105,DischargeAh_106,DischargeAh_107,DischargeAh_108,DischargeAh_109,DischargeAh_110,DischargeAh_111,DischargeAh_112,DischargeAh_113,DischargeAh_114,DischargeAh_115,DischargeAh_116,DischargeAh_117,DischargeAh_118,DischargeAh_119,DischargeAh_120,DischargeAh_121,DischargeAh_122,DischargeAh_123,DischargeAh_124,DischargeAh_125,DischargeAh_126,DischargeAh_127,DischargeAh_128,DischargeAh_129,DischargeAh_130,DischargeAh_131,DischargeAh_132,DischargeAh_133,DischargeAh_134,DischargeAh_135,DischargeAh_136,DischargeAh_137,DischargeAh_138,DischargeAh_139,DischargeAh_140,DischargeAh_141,DischargeAh_142,DischargeAh_143,DischargeAh_144
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999523116696594,0.999388384425503,0.999403527614777,0.999096774066593,0.999527958294886,0.999419287519532,0.999118724272209,0.998878194231061,1,1,0.999871162413782,1,0.99952569938181,0.999648632764363,0.999617217301778,1
2,0.999313820319395,0.999475210235709,0.99941055746691,0.99959955583705,0.999596316490393,0.999564624678384,0.999447304182284,0.999588756040146,0.99910318784882,0.999194825235747,0.999130727892884,0.998952252123974,0.999136846425884,0.999082533452698,0.999280034501317,0.999384022123947,0.999646082005435,0.999554766692386,0.999823867578613,0.99979272857886,0.999741447341966,0.999632214152324,0.999676260249006,0.999655206368112,0.999227973251948,0.999314138786737,0.999287640002872,0.999210231188503,0.999217883658181,0.999105137139225,0.999236997564537,0.999215147151687,0.999856902188379,0.999802694063192,0.999754355293709,0.999765502344813,0.999484955886422,0.999688014513879,0.999509345556839,0.999362393851387,0.999563256926642,0.999632698165315,1,0.999896464903956,0.999941692058835,0.99982968800359,0.999886862256683,0.999864233385325
3,0.998793109035883,0.998728898038216,0.998598166780787,0.99876752877375,0.99882140802035,0.998835253978301,0.998866722917983,0.998934703146548,0.998318254054921,0.998188654112323,0.998199386134115,0.997915183444872,0.998141632139532,0.998066057591406,0.998254737099727,0.998318949589348,0.999027980543295,0.999048361103132,0.999268106884702,0.999409638152535,0.999228111930996,0.999083514038571,0.999212516426882,0.999100579385431,0.998359405799436,0.998303883756391,0.998466832059716,0.998306098583985,0.998297115353364,0.998138088674347,0.998350506853748,0.998376475822346,1,1,1,1,1,1,1,1,0.999079820010802,0.999431436886035,0.999870851211882,0.999816774254273,1,1,1,0.999841919890783
4,0.997799363803617,0.997716134914026,0.997606109775809,0.99795574188976,0.998002696265502,0.9981442712098,0.997874439667016,0.998003154328671,0.997545817311569,0.997479517549272,0.997325362283332,0.997050168493996,0.99734659095979,0.997150073219463,0.997554374622048,0.99763294036309,0.998057529872028,0.997963656727642,0.998155327408155,0.998370135805242,0.998192016346308,0.997916507282348,0.998167991671488,0.99793406954324,0.997501598301601,0.997550452955422,0.997587629068697,0.997493576766546,0.997528416943449,0.997221749104913,0.99750547718226,0.99759550986433,0.999801763582066,0.999769207864267,0.999714176704781,0.999729753751225,0.999262393802926,0.999388482229936,0.999628073436801,0.999110767725763,0.997944537053899,0.998289279126124,0.998977079357729,0.999043712203807,0.999394349772411,0.998978443999267,0.999079498749514,0.998995264196489
5,0.997363412226338,0.997263417941383,0.997017912763128,0.996947158185409,0.997311612786526,0.997632120025018,0.99723432767405,0.997566910735998,0.996739757551268,0.996729943848872,0.996516674907972,0.996276520005696,0.996472432326321,0.996314719187056,0.996789262771962,0.996845907189091,0.997542340734549,0.997432340776276,0.997705875211438,0.997933576271794,0.997709468493647,0.997434278268089,0.997587839969998,0.997353016771253,0.996713730509164,0.996909139833169,0.996846965349392,0.996643033478653,0.996707835863508,0.996396983834899,0.996598405092251,0.996942512294533,0.998806971226509,0.998843741248858,0.998926937685948,0.998859652661417,0.998505420108911,0.998502338580283,0.998680874217651,0.998141054510563,0.997655969107354,0.997638953617451,0.998246999702491,0.998492152510334,0.998873967071687,0.9983117309892,0.998538323210648,0.998264890093468
6,0.996566297047869,0.996547994083167,0.99633692448005,0.996394134209204,0.996670004960171,0.996899004160877,0.99662492100429,0.996552550634413,0.995851871864765,0.995904550515945,0.995557416655159,0.995399935924818,0.995649134913105,0.995398734815114,0.995944253760513,0.995993908762561,0.996809090421341,0.996783725398258,0.997017071634943,0.997269301246837,0.997049735101335,0.996728179607419,0.996955462030739,0.996640778830929,0.996094136452365,0.99607976799115,0.996052077657071,0.995779317397846,0.995887552959832,0.99560145075167,0.9959818585582,0.996113707686714,0.998110518115822,0.998423522281947,0.998313805885804,0.998452315475763,0.998103626613042,0.995806875740638,0.998378150921502,0.99827113799065,0.996549947625073,0.996836424266324,0.995170457728201,0.997829527895649,0.998453272141343,0.997702525925973,0.998052773728913,0.997680967940537
7,0.995801901608939,0.995758937416168,0.995579959452083,0.995652409484361,0.995849087284505,0.996112831805931,0.995523289204353,0.995717562898295,0.995263320293752,0.995295912132479,0.994930483475069,0.994752064644739,0.994991805692293,0.994687883512874,0.995253989808805,0.99531147560525,0.996080232707357,0.995971143079759,0.99634682486713,0.996600937407805,0.996264966523243,0.99600765797233,0.996312387151213,0.995891733541216,0.99497629671651,0.99528627380632,0.995048636222389,0.994910811210526,0.994966188302485,0.994509718061524,0.994908047468416,0.995161419564094,0.997714373485945,0.998069290824683,0.99786204175176,0.997817695947389,0.997458590486095,0.997459874471722,0.997559846886952,0.997488666148304,0.995806270360461,0.996059367045856,0.996769413085666,0.997045171107433,0.997606553060226,0.996896150759294,0.997104302314107,0.996889938845311
8,0.994927505521846,0.994923704241967,0.994583231745575,0.994660017923457,0.995130587361082,0.99533165300306,0.994881297293639,0.995300694021057,0.994452797301113,0.994547230427757,0.994034185825846,0.993987908775927,0.994200928589062,0.993863497578126,0.994459473427214,0.994577487453958,0.995354826321333,0.995211534695877,0.995675949054955,0.995924710464785,0.995630679990349,0.995233520497555,0.995587197524351,0.995088578301973,0.994472969947745,0.994626124914043,0.994504906822657,0.994153974381313,0.994429172850097,0.993860345912222,0.99429060609179,0.994607986184198,0.996465221488171,0.997140869544663,0.996815765163661,0.996960385638773,0.996476428607303,0.996338103128244,0.9966316703668,0.996239076354732,0.994301172171092,0.994840478423219,0.99543435693862,0.995555834437969,0.99670058558728,0.995400312185997,0.996029808024106,0.995343393681384
9,0.994458522588462,0.99438269029947,0.99410028120737,0.994096718163911,0.994610935442782,0.994863507495946,0.994353980365512,0.994515705550575,0.993820506053184,0.993865745730686,0.993437248027655,0.993163830746595,0.993325580219447,0.993001464389255,0.99393405306122,0.993967767698561,0.994517094898027,0.994348816332116,0.99459682345178,0.995096568352705,0.994768628357729,0.99424460612111,0.994246619216298,0.993975863816582,0.993508160678403,0.99383203276826,0.993666520778358,0.993331872350847,0.993498266552286,0.992892104296863,0.993159525077217,0.993728950994087,0.996136359086235,0.996689790747369,0.996294096817986,0.996357907047753,0.995966964958946,0.995864226013822,0.995993426017608,0.995978909394557,0.993237175147047,0.993715616554495,0.994372536058964,0.994921760410375,0.995571104339866,0.994347474390005,0.994938971615626,0.994717358735937
10,0.993235115946292,0.993125316488476,0.99282019760804,0.992881684630604,0.993494109246023,0.993669424355801,0.993191564558412,0.993396659486564,0.993375968112288,0.993494378197247,0.992935345102808,0.992766920594238,0.992921367363753,0.992529243319836,0.993483183578133,0.993574400114434,0.993969902537636,0.993771778830039,0.993983819720918,0.994535771776237,0.99417109839955,0.993604037931168,0.993249601460321,0.993337555167768,0.992737329480871,0.993075014201573,0.992842733496025,0.99250767464878,0.992756702182441,0.992097764364115,0.99241113840381,0.992757527411546,0.994814345358691,0.995641869698634,0.995461779382308,0.995838404550107,0.995131536489185,0.970142792348753,0.995231862102487,0.995477628105127,0.99252213677249,0.993517814453453,0.994147225884031,0.994451773822877,0.995340066960087,0.994527581696042,0.994754179968208,0.993982270514351
